,county,eis facility id,agency facility id,tri facility id,company name,site name,facility source type,site latitude,site longitude,address,city,zip code,pollutant code,pollutant type(s),total emissions,emissions uom,data set
5214,Alameda,128311,1130313554,,PACIFIC BELL,PACIFIC BELL,,37.60431,-122.0188,118 E STREET,UNION CITY,94587,PM25-PRI,CAP,0.009402939,TON,2017NEI_Feb2020
5238,Alameda,128911,1130313631,,MORGAN ADVANCED CERAMICS,MORGAN ADVANCED CERAMICS,,37.60615,-122.06035,2425 WHIPPLE ROAD,HAYWARD,94544,NOX,CAP,19.623372392,TON,2017NEI_Feb2020
5241,Alameda,128911,1130313631,,MORGAN ADVANCED CERAMICS,MORGAN ADVANCED CERAMICS,,37.60615,-122.06035,2425 WHIPPLE ROAD,HAYWARD,94544,PM10-PRI,CAP,0.49238886,TON,2017NEI_Feb2020
5243,Alameda,128911,1130313631,,MORGAN ADVANCED CERAMICS,MORGAN ADVANCED CERAMICS,,37.60615,-122.06035,2425 WHIPPLE ROAD,HAYWARD,94544,PM25-PRI,CAP,0.46733389200000003,TON,2017NEI_Feb2020
5264,Alameda,129311,1130313669,,"LOWES HIW, INC ,CORPORATE PAY","LOWES HIW, INC ,CORPORATE PAYABLES",,37.695170000000005,-121.74592,4255 1ST STREET,LIVERMORE,94550,NOX,CAP,0.1079345,TON,2017NEI_Feb2020
5267,Alameda,129311,1130313669,,"LOWES HIW, INC ,CORPORATE PAY","LOWES HIW, INC ,CORPORATE PAYABLES",,37.695170000000005,-121.74592,4255 1ST STREET,LIVERMORE,94550,PM10-PRI,CAP,0.001479794,TON,2017NEI_Feb2020
5269,Alameda,129311,1130313669,,"LOWES HIW, INC ,CORPORATE PAY","LOWES HIW, INC ,CORPORATE PAYABLES",,37.695170000000005,-121.74592,4255 1ST STREET,LIVERMORE,94550,PM25-PRI,CAP,0.001444341,TON,2017NEI_Feb2020
5302,Alameda,129811,113031371,,DUBLIN SAN RAMON SERVICES DIST,DUBLIN SAN RAMON SERVICES DISTRICT - WASTEWATER TP,Wastewater Treatment Facility,37.68844,-121.91376000000001,7399 JOHNSON DRIVE,PLEASANTON,94588,NOX,CAP,44.287059218,TON,2017NEI_Feb2020
5305,Alameda,129811,113031371,,DUBLIN SAN RAMON SERVICES DIST,DUBLIN SAN RAMON SERVICES DISTRICT - WASTEWATER TP,Wastewater Treatment Facility,37.68844,-121.91376000000001,7399 JOHNSON DRIVE,PLEASANTON,94588,PM10-PRI,CAP,0.562222487,TON,2017NEI_Feb2020
5307,Alameda,129811,113031371,,DUBLIN SAN RAMON SERVICES DIST,DUBLIN SAN RAMON SERVICES DISTRICT - WASTEWATER TP,Wastewater Treatment Facility,37.68844,-121.91376000000001,7399 JOHNSON DRIVE,PLEASANTON,94588,PM25-PRI,CAP,0.55986233,TON,2017NEI_Feb2020
5329,Alameda,130511,1130313949,,KAISER PERMANENTE,KAISER PERMANENTE,"Institutional (school, hospital, prison, etc.)",37.760529999999996,-122.21067,5800 COLISEUM WAY,OAKLAND,94621,NOX,CAP,0.01878317,TON,2017NEI_Feb2020
5332,Alameda,130511,1130313949,,KAISER PERMANENTE,KAISER PERMANENTE,"Institutional (school, hospital, prison, etc.)",37.760529999999996,-122.21067,5800 COLISEUM WAY,OAKLAND,94621,PM10-PRI,CAP,0.00042775699999999996,TON,2017NEI_Feb2020
5334,Alameda,130511,1130313949,,KAISER PERMANENTE,KAISER PERMANENTE,"Institutional (school, hospital, prison, etc.)",37.760529999999996,-122.21067,5800 COLISEUM WAY,OAKLAND,94621,PM25-PRI,CAP,0.000417509,TON,2017NEI_Feb2020
5386,Alameda,136511,113031500,,NORTHERN CALIF POWER AGENCY,NORTHERN CALIF POWER AGENCY,Electricity Generation via Combustion,37.78683,-122.29108000000001,"2900 MAIN ST, SITE 1 OR 2",ALAMEDA,94501,NOX,CAP,0.2985888,TON,2017NEI_Feb2020
5389,Alameda,136511,113031500,,NORTHERN CALIF POWER AGENCY,NORTHERN CALIF POWER AGENCY,Electricity Generation via Combustion,37.78683,-122.29108000000001,"2900 MAIN ST, SITE 1 OR 2",ALAMEDA,94501,PM10-PRI,CAP,0.40858649999999996,TON,2017NEI_Feb2020
5391,Alameda,136511,113031500,,NORTHERN CALIF POWER AGENCY,NORTHERN CALIF POWER AGENCY,Electricity Generation via Combustion,37.78683,-122.29108000000001,"2900 MAIN ST, SITE 1 OR 2",ALAMEDA,94501,PM25-PRI,CAP,0.4077644,TON,2017NEI_Feb2020
5423,Alameda,137211,113031529,,KAISER PERMANENTE MEDICAL CENT,KAISER PERMANENTE MEDICAL CENTER,"Institutional (school, hospital, prison, etc.)",37.82269,-122.25757,280 W MACARTHUR BLVD,OAKLAND,94611,NOX,CAP,1.6806612619999999,TON,2017NEI_Feb2020
5426,Alameda,137211,113031529,,KAISER PERMANENTE MEDICAL CENT,KAISER PERMANENTE MEDICAL CENTER,"Institutional (school, hospital, prison, etc.)",37.82269,-122.25757,280 W MACARTHUR BLVD,OAKLAND,94611,PM10-PRI,CAP,0.17730656600000003,TON,2017NEI_Feb2020
5428,Alameda,137211,113031529,,KAISER PERMANENTE MEDICAL CENT,KAISER PERMANENTE MEDICAL CENTER,"Institutional (school, hospital, prison, etc.)",37.82269,-122.25757,280 W MACARTHUR BLVD,OAKLAND,94611,PM25-PRI,CAP,0.17723293199999998,TON,2017NEI_Feb2020
5435,Alameda,137311,11303153,,PABCO GYPSUM,PABCO GYPSUM,,37.5273,-122.0254,37851 CHERRY STREET,NEWARK,94560,NOX,CAP,16.2449398,TON,2017NEI_Feb2020
5438,Alameda,137311,11303153,,PABCO GYPSUM,PABCO GYPSUM,,37.5273,-122.0254,37851 CHERRY STREET,NEWARK,94560,PM10-PRI,CAP,5.7773646460000005,TON,2017NEI_Feb2020
5440,Alameda,137311,11303153,,PABCO GYPSUM,PABCO GYPSUM,,37.5273,-122.0254,37851 CHERRY STREET,NEWARK,94560,PM25-PRI,CAP,3.5462532710000003,TON,2017NEI_Feb2020
5464,Alameda,137611,1130315491,,FINISAR CORPORATION,FINISAR CORPORATION,,37.51195,-121.98003999999999,41762 CHRISTY STREET,FREMONT,94538,NOX,CAP,0.005443771,TON,2017NEI_Feb2020
5467,Alameda,137611,1130315491,,FINISAR CORPORATION,FINISAR CORPORATION,,37.51195,-121.98003999999999,41762 CHRISTY STREET,FREMONT,94538,PM10-PRI,CAP,0.024449045,TON,2017NEI_Feb2020
5469,Alameda,137611,1130315491,,FINISAR CORPORATION,FINISAR CORPORATION,,37.51195,-121.98003999999999,41762 CHRISTY STREET,FREMONT,94538,PM25-PRI,CAP,0.014732318000000001,TON,2017NEI_Feb2020
5478,Alameda,137811,113031574,,"UNCOMMON GROUNDS,INC","UNCOMMON GROUNDS, LLC",,37.85307,-122.29141000000001,2813 7TH STREET,BERKELEY,94710,NOX,CAP,0.018043055,TON,2017NEI_Feb2020
5481,Alameda,137811,113031574,,"UNCOMMON GROUNDS,INC","UNCOMMON GROUNDS, LLC",,37.85307,-122.29141000000001,2813 7TH STREET,BERKELEY,94710,PM10-PRI,CAP,0.009451161999999999,TON,2017NEI_Feb2020
5483,Alameda,137811,113031574,,"UNCOMMON GROUNDS,INC","UNCOMMON GROUNDS, LLC",,37.85307,-122.29141000000001,2813 7TH STREET,BERKELEY,94710,PM25-PRI,CAP,0.005727166,TON,2017NEI_Feb2020
5489,Alameda,138311,113031672,,AIR LIQUIDE ELECTRONICS US,AIR LIQUIDE ELECTRONICS US,,37.50158,-121.96476000000001,5121 BRANDIN COURT,FREMONT,94538,NOX,CAP,0.02025566,TON,2017NEI_Feb2020
5492,Alameda,138311,113031672,,AIR LIQUIDE ELECTRONICS US,AIR LIQUIDE ELECTRONICS US,,37.50158,-121.96476000000001,5121 BRANDIN COURT,FREMONT,94538,PM10-PRI,CAP,5.9571e-05,TON,2017NEI_Feb2020
5494,Alameda,138311,113031672,,AIR LIQUIDE ELECTRONICS US,AIR LIQUIDE ELECTRONICS US,,37.50158,-121.96476000000001,5121 BRANDIN COURT,FREMONT,94538,PM25-PRI,CAP,5.9571e-05,TON,2017NEI_Feb2020
5515,Alameda,138511,113031702,,"UNION SANITARY DIST, PASEO PAD","UNION SANITARY DIST, PASEO PADRE LS",Wastewater Treatment Facility,37.56628,-122.0063,6935 PASEO PADRE PKWY,FREMONT,94536,NOX,CAP,0.038331865,TON,2017NEI_Feb2020
5518,Alameda,138511,113031702,,"UNION SANITARY DIST, PASEO PAD","UNION SANITARY DIST, PASEO PADRE LS",Wastewater Treatment Facility,37.56628,-122.0063,6935 PASEO PADRE PKWY,FREMONT,94536,PM10-PRI,CAP,0.000525534,TON,2017NEI_Feb2020
5520,Alameda,138511,113031702,,"UNION SANITARY DIST, PASEO PAD","UNION SANITARY DIST, PASEO PADRE LS",Wastewater Treatment Facility,37.56628,-122.0063,6935 PASEO PADRE PKWY,FREMONT,94536,PM25-PRI,CAP,0.0005129430000000001,TON,2017NEI_Feb2020
5527,Alameda,138611,113031749,,"GLOBAL PLATING, INC","GLOBAL PLATING, INC",,37.5027,-121.94975,44620 GRIMMER BLVD,FREMONT,94538,NOX,CAP,0.29438322,TON,2017NEI_Feb2020
5530,Alameda,138611,113031749,,"GLOBAL PLATING, INC","GLOBAL PLATING, INC",,37.5027,-121.94975,44620 GRIMMER BLVD,FREMONT,94538,PM10-PRI,CAP,0.025840371,TON,2017NEI_Feb2020
5532,Alameda,138611,113031749,,"GLOBAL PLATING, INC","GLOBAL PLATING, INC",,37.5027,-121.94975,44620 GRIMMER BLVD,FREMONT,94538,PM25-PRI,CAP,0.020700885,TON,2017NEI_Feb2020
5538,Alameda,138811,113031794,,"TEIKURO AMERICA COMPANY, LTD","TEIKURO AMERICA COMPANY, LTD",,37.61075,-122.04595,31499 HAYMAN STREET,HAYWARD,94544,PM10-PRI,CAP,0.000316569,TON,2017NEI_Feb2020
5540,Alameda,138811,113031794,,"TEIKURO AMERICA COMPANY, LTD","TEIKURO AMERICA COMPANY, LTD",,37.61075,-122.04595,31499 HAYMAN STREET,HAYWARD,94544,PM25-PRI,CAP,0.000190175,TON,2017NEI_Feb2020
5543,Alameda,138911,113031802,,PRECISION TECHNICAL COATINGS,PRECISION TECHNICAL COATINGS,,37.87839,-122.3033,1220 4TH STREET,BERKELEY,94710,PM10-PRI,CAP,1.8035476000000001,TON,2017NEI_Feb2020
5545,Alameda,138911,113031802,,PRECISION TECHNICAL COATINGS,PRECISION TECHNICAL COATINGS,,37.87839,-122.3033,1220 4TH STREET,BERKELEY,94710,PM25-PRI,CAP,1.7835081000000002,TON,2017NEI_Feb2020
5550,Alameda,139011,113031814,,BAY AREA RAPID TRANSIT DISTRIC,BAY AREA RAPID TRANSIT DISTRICT,,37.61534,-122.0466,150 SANDOVAL,HAYWARD,94544,PM10-PRI,CAP,0.08399998,TON,2017NEI_Feb2020
5552,Alameda,139011,113031814,,BAY AREA RAPID TRANSIT DISTRIC,BAY AREA RAPID TRANSIT DISTRICT,,37.61534,-122.0466,150 SANDOVAL,HAYWARD,94544,PM25-PRI,CAP,0.05039999,TON,2017NEI_Feb2020
5576,Alameda,139211,113031855,,AGRICULTURAL RESEARCH SERVICE,AGRICULTURAL RESEARCH SERVICE,,37.877790000000005,-122.31,800 BUCHANAN STREET,BERKELEY,94710,NOX,CAP,0.14605659699999998,TON,2017NEI_Feb2020
5579,Alameda,139211,113031855,,AGRICULTURAL RESEARCH SERVICE,AGRICULTURAL RESEARCH SERVICE,,37.877790000000005,-122.31,800 BUCHANAN STREET,BERKELEY,94710,PM10-PRI,CAP,0.002452219,TON,2017NEI_Feb2020
5581,Alameda,139211,113031855,,AGRICULTURAL RESEARCH SERVICE,AGRICULTURAL RESEARCH SERVICE,,37.877790000000005,-122.31,800 BUCHANAN STREET,BERKELEY,94710,PM25-PRI,CAP,0.002395917,TON,2017NEI_Feb2020
5586,Alameda,139511,113031940,,KELLYS CONCRETE & BUILDING MA,"KELLYS CONCRETE & BUILDING MATERIALS, INC",Concrete Batch Plant,37.50695,-121.94775,44300 OLD WARM SPRINGS BLVD,FREMONT,94538,PM10-PRI,CAP,0.01300626,TON,2017NEI_Feb2020
5588,Alameda,139511,113031940,,KELLYS CONCRETE & BUILDING MA,"KELLYS CONCRETE & BUILDING MATERIALS, INC",Concrete Batch Plant,37.50695,-121.94775,44300 OLD WARM SPRINGS BLVD,FREMONT,94538,PM25-PRI,CAP,0.008765087,TON,2017NEI_Feb2020
5609,Alameda,140211,113032035,,"SVC MANUFACTURING, INC DBA PEP","SVC MANUFACTURING, INC DBA PEPSICO",,37.760329999999996,-122.2057,1175 57TH AVENUE,OAKLAND,94621,NOX,CAP,0.8470338,TON,2017NEI_Feb2020
5612,Alameda,140211,113032035,,"SVC MANUFACTURING, INC DBA PEP","SVC MANUFACTURING, INC DBA PEPSICO",,37.760329999999996,-122.2057,1175 57TH AVENUE,OAKLAND,94621,PM10-PRI,CAP,0.09992142,TON,2017NEI_Feb2020
5614,Alameda,140211,113032035,,"SVC MANUFACTURING, INC DBA PEP","SVC MANUFACTURING, INC DBA PEPSICO",,37.760329999999996,-122.2057,1175 57TH AVENUE,OAKLAND,94621,PM25-PRI,CAP,0.09992142,TON,2017NEI_Feb2020
5671,Alameda,140311,113032066,,,WASTE MANAGEMENT OF ALAMEDA COUNTY,Landfill,37.7496,-121.6509,10840 ALTAMONT PASS RD,LIVERMORE,94551,NOX,CAP,44.186412018,TON,2017NEI_Feb2020
5674,Alameda,140311,113032066,,,WASTE MANAGEMENT OF ALAMEDA COUNTY,Landfill,37.7496,-121.6509,10840 ALTAMONT PASS RD,LIVERMORE,94551,PM10-PRI,CAP,146.181581001,TON,2017NEI_Feb2020
5676,Alameda,140311,113032066,,,WASTE MANAGEMENT OF ALAMEDA COUNTY,Landfill,37.7496,-121.6509,10840 ALTAMONT PASS RD,LIVERMORE,94551,PM25-PRI,CAP,32.869887921,TON,2017NEI_Feb2020
5699,Alameda,140511,113032099,,ST ROSE HOSPITAL,ST ROSE HOSPITAL,"Institutional (school, hospital, prison, etc.)",37.63282,-122.08968999999999,27200 CALAROGA AVE,HAYWARD,94545,NOX,CAP,1.30968667,TON,2017NEI_Feb2020
5702,Alameda,140511,113032099,,ST ROSE HOSPITAL,ST ROSE HOSPITAL,"Institutional (school, hospital, prison, etc.)",37.63282,-122.08968999999999,27200 CALAROGA AVE,HAYWARD,94545,PM10-PRI,CAP,0.026270571,TON,2017NEI_Feb2020
5704,Alameda,140511,113032099,,ST ROSE HOSPITAL,ST ROSE HOSPITAL,"Institutional (school, hospital, prison, etc.)",37.63282,-122.08968999999999,27200 CALAROGA AVE,HAYWARD,94545,PM25-PRI,CAP,0.026191183,TON,2017NEI_Feb2020
5725,Alameda,141011,113032200,,MASONIC HOMES OF CALIFORNIA,MASONIC HOMES OF CALIFORNIA,,37.5982,-122.0125,34400 MISSION BOULEVARD,UNION CITY,94587,NOX,CAP,1.22180436,TON,2017NEI_Feb2020
5728,Alameda,141011,113032200,,MASONIC HOMES OF CALIFORNIA,MASONIC HOMES OF CALIFORNIA,,37.5982,-122.0125,34400 MISSION BOULEVARD,UNION CITY,94587,PM10-PRI,CAP,0.027722133,TON,2017NEI_Feb2020
5730,Alameda,141011,113032200,,MASONIC HOMES OF CALIFORNIA,MASONIC HOMES OF CALIFORNIA,,37.5982,-122.0125,34400 MISSION BOULEVARD,UNION CITY,94587,PM25-PRI,CAP,0.027706075,TON,2017NEI_Feb2020
5752,Alameda,141311,113032246,,TRI-CITIES RECYCLING,WASTE MANAGEMENT OF ALAMEDA COUNTY,Landfill,37.491240000000005,-121.99354,7010 AUTO MALL PKWY,FREMONT,94538,NOX,CAP,10.66175221,TON,2017NEI_Feb2020
5755,Alameda,141311,113032246,,TRI-CITIES RECYCLING,WASTE MANAGEMENT OF ALAMEDA COUNTY,Landfill,37.491240000000005,-121.99354,7010 AUTO MALL PKWY,FREMONT,94538,PM10-PRI,CAP,1.057040448,TON,2017NEI_Feb2020
5757,Alameda,141311,113032246,,TRI-CITIES RECYCLING,WASTE MANAGEMENT OF ALAMEDA COUNTY,Landfill,37.491240000000005,-121.99354,7010 AUTO MALL PKWY,FREMONT,94538,PM25-PRI,CAP,1.05664154,TON,2017NEI_Feb2020
5786,Alameda,141411,113032258,,AC TRANSIT DISTRICT - CENTRAL,AC TRANSIT DISTRICT - CENTRAL MAINTENANCE BUILDING,,37.73715,-122.16575,10626 INTERNATIONAL BLVD,OAKLAND,94603,NOX,CAP,0.032242912,TON,2017NEI_Feb2020
5789,Alameda,141411,113032258,,AC TRANSIT DISTRICT - CENTRAL,AC TRANSIT DISTRICT - CENTRAL MAINTENANCE BUILDING,,37.73715,-122.16575,10626 INTERNATIONAL BLVD,OAKLAND,94603,PM10-PRI,CAP,0.18184184,TON,2017NEI_Feb2020
5791,Alameda,141411,113032258,,AC TRANSIT DISTRICT - CENTRAL,AC TRANSIT DISTRICT - CENTRAL MAINTENANCE BUILDING,,37.73715,-122.16575,10626 INTERNATIONAL BLVD,OAKLAND,94603,PM25-PRI,CAP,0.136385734,TON,2017NEI_Feb2020
5812,Alameda,142011,113031450,,INJEX INDUSTRIES INC,INJEX INDUSTRIES INC,,37.61435,-122.04775,30559 SAN ANTONIO ST,HAYWARD,94544,NOX,CAP,0.004691783,TON,2017NEI_Feb2020
5815,Alameda,142011,113031450,,INJEX INDUSTRIES INC,INJEX INDUSTRIES INC,,37.61435,-122.04775,30559 SAN ANTONIO ST,HAYWARD,94544,PM10-PRI,CAP,0.00033529400000000003,TON,2017NEI_Feb2020
5817,Alameda,142011,113031450,,INJEX INDUSTRIES INC,INJEX INDUSTRIES INC,,37.61435,-122.04775,30559 SAN ANTONIO ST,HAYWARD,94544,PM25-PRI,CAP,0.00032726099999999997,TON,2017NEI_Feb2020
6834,Alameda,168111,1130314530,,EAST BAY DISCHARGERS AUTHORITY,EAST BAY DISCHARGERS AUTHORITY,,37.7141,-122.19243,3000 DAVIS STREET,SAN LEANDRO,94577,NOX,CAP,0.02083674,TON,2017NEI_Feb2020
6837,Alameda,168111,1130314530,,EAST BAY DISCHARGERS AUTHORITY,EAST BAY DISCHARGERS AUTHORITY,,37.7141,-122.19243,3000 DAVIS STREET,SAN LEANDRO,94577,PM10-PRI,CAP,0.000409863,TON,2017NEI_Feb2020
6839,Alameda,168111,1130314530,,EAST BAY DISCHARGERS AUTHORITY,EAST BAY DISCHARGERS AUTHORITY,,37.7141,-122.19243,3000 DAVIS STREET,SAN LEANDRO,94577,PM25-PRI,CAP,0.000400044,TON,2017NEI_Feb2020
6860,Alameda,168211,1130314531,,EAST BAY DISCHARGERS AUTHORITY,EAST BAY DISCHARGERS AUTHORITY,Wastewater Treatment Facility,37.63345,-122.12872,3700 ENTERPRISE AVE,HAYWARD,94545,NOX,CAP,0.008724767,TON,2017NEI_Feb2020
6863,Alameda,168211,1130314531,,EAST BAY DISCHARGERS AUTHORITY,EAST BAY DISCHARGERS AUTHORITY,Wastewater Treatment Facility,37.63345,-122.12872,3700 ENTERPRISE AVE,HAYWARD,94545,PM10-PRI,CAP,0.00033740800000000003,TON,2017NEI_Feb2020
6865,Alameda,168211,1130314531,,EAST BAY DISCHARGERS AUTHORITY,EAST BAY DISCHARGERS AUTHORITY,Wastewater Treatment Facility,37.63345,-122.12872,3700 ENTERPRISE AVE,HAYWARD,94545,PM25-PRI,CAP,0.00032932400000000003,TON,2017NEI_Feb2020
